gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_name
ENSG00000100294,226.28861380408523,0.7460919032646095,0.2236065095210496,5.000751936864276e-4,0.0020244979615369895,MCAT
ENSG00000185252,92.88004627099959,1.0811661268366903,0.33885488903045835,5.071534751281857e-4,0.0020367283561147937,ZNF74
ENSG00000280623,11.747867623373732,4.488350782912304,1.5684369707841481,0.00102030225536657,0.0038019411955760463,PCAT14
ENSG00000100372,246.03303080118764,0.6518825822500336,0.20766073830516138,0.0011265432215721179,0.004127917498023381,SLC25A17
ENSG00000239900,112.36477245989175,0.8263261348239583,0.29399050662519755,0.002531037638306159,0.008702608865956793,ADSL
ENSG00000100290,147.8504889837426,0.7340946225602332,0.25779051531289554,0.0025902122150708263,0.008845486612010577,BIK
ENSG00000100311,35.91058369017226,1.4578898167769465,0.5936975424496957,0.0026176666835098185,0.008878842399472493,PDGFB
ENSG00000182057,90.45507169623954,0.8430427989605537,0.32665006645480693,0.004838338106932716,0.01597924822158042,OGFRP1
ENSG00000100196,131.53136186991128,0.7001346353451605,0.27140714802929233,0.006022236240711874,0.01901360121281359,KDELR3
ENSG00000133466,39.96306078870342,1.136800649209706,0.49638342068401387,0.006457183778285796,0.020259414104371685,C1QTNF6
ENSG00000100027,16.785793025461142,1.6509120073840695,0.8431420585246729,0.006650540456670405,0.02070462956257325,YPEL1
ENSG00000100211,185.86870628808367,0.5949766618379339,0.231203362083902,0.0070570606283152735,0.021734014941191825,CBY1
ENSG00000280383,100.57535012370295,0.7798576289953193,0.3176597453334006,0.007541219886211069,0.022805375800469617,Z95331.1
ENSG00000128266,17.46283255106859,1.5884347037895312,0.8351880178465663,0.007944451098340776,0.023738776496232558,GNAZ
ENSG00000242259,161.55448035057367,0.6095498285724003,0.24294154576512542,0.008302890372801307,0.024517946865566215,C22orf39
ENSG00000133519,8.574235129932358,2.2435462680167793,1.4593319492477788,0.009066836059136186,0.02615834311314003,ZDHHC8P1
ENSG00000100209,60.289051896204086,0.8619069378847323,0.39382195629830374,0.013083321112689405,0.03715240290500926,HSCB
ENSG00000244627,42.70698423445882,0.9879476147390648,0.47145803582135937,0.013099552418698486,0.03715240290500926,TPTEP2
ENSG00000100033,14.039591553016638,1.5346096198952615,0.9344366981287174,0.013328738533155348,0.03759003788564036,PRODH
ENSG00000100034,155.35364881097433,0.5920897353312423,0.25808193688478276,0.015152473228034398,0.04202509149432745,PPM1F
ENSG00000161179,65.58575356189145,0.8220405655732227,0.38322529128987,0.01552896697844262,0.04259858701190271,YDJC
